Identité;*Analyse;*Code MSSS;Libellé répertoire MSSS;*Gr. Risque;*SYNONYME(S);*Renseignement important;*SECTEUR;TEMPS RÉPONSE (JOURS OUVRABLES*);*PRÉLÈVEMENT SPÉCIMEN;TEST;*Titre d'analyse;Plan d'analyses;Code du Groupe d'analyses;*NOM DU GROUPE D'ANALYSES;COMMENTAIRE;Catégorie d'envoi TMD;
44;Chlamydia trachomatis LGV: détection et génotypage (TAAN) sur spécimen clinique;82050;Chlamydia trachomatis LGV  détection et génotypage (TAAN) sur spécimen clinique;;Chlamydia,lymphogranulomatose vénérienne, LGV, C. trachomatis, Chlamydia trachomatis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/chlamydia-trachomatis-detection-d-acides-nucleiques-et-genotypage-des-serotypes).;Biologie moléculaire;"5 jours ouvrables (TAAN)
14 jours ouvrables (génotypage)";Écouvillon rectal, endocervical, urétral, urinaire ou de gorge, congelé et expédié sur glace sèche, à moins d’avis contraire du fournisseur de réactif.;TAAN, TAAN - séquençage;Chlamydia trachomatis - Recherche d'acides nucléiques;Humain;CH;Chlamydia trachomatis;Épreuves de détections effectuées au LSPQ   en présence d'un génotype LGV, envoi au LNM pour génotypage.;Catégorie B;
;Chlamydia trachomatis variant Finnois (programme de surveillance);82049;Chlamydia trachomatis variant Finnois (programme de surveillance);;Chlamydia, Finnois, C. trachomatis, Chlamydia trachomatis, Aptima;ATTENTION il ne s’agit pas de la détection de Chlamydia trachomatis LGV. Ceci est un test de surveillance recherchant le variant Finnois de Chlamydia trachomatis pour les utilisateurs de Aptima Combo2 de Hologic qui ont une RLU entre 25 et 99.;Biologie moléculaire;N/A;Écouvillon rectal, endocervical, urétral, urinaire ou de gorge, congelé et expédié sur glace sèche, à moins d’avis contraire du fournisseur de réactif.;Séquençage;Chlamydia trachomatis variant Finnois - Séquençage;Humain;CHVF;Chlamydia trachomatis variant finnois - surv;Envoi au LNM.;Catégorie B;
45;Chlamydophila pneumoniae: détection (TAAN) sur spécimen respiratoire;82051;Chlamydophila pneumoniae  détection (TAAN) sur spécimen respiratoire;;Chlamydophila pneumoniae, C. pneumoniae;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/chlamydophila-pneumoniae-detection-d-acides-nucleiques).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;1 mL de lavage bronchoalvéolaire congelé et expédié sur glace sèche ou biopsie pulmonaire;TAAN;Chlamydophila pneumoniae- Recherche d'acides nucléiques;Humain;CHPN;Chlamydophila pneumoniae;Envoi au LNM.;Catégorie B;
46;Chlamydophila psittaci: détection (TAAN) sur spécimen clinique;82052;Chlamydophila psittaci  détection (TAAN) sur spécimen clinique;;Chlamydophila psittaci, C. psittaci, psittacose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/chlamydophila-psittaci-detection-d-acides-nucleiques).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;1 mL de lavage bronchoalvéolaire, d'aspiration nasopharyngé, écouvillon de gorge, congelés et expédiés sur glace sèche.;TAAN;Chlamydophila psittaci- Recherche d'acides nucléiques;Humain;CHPS;Chlamydophila psittaci - Détection;Envoi au LNM.;Catégorie B;
47;Chorioméningite lymphocytaire (VCML): détection (anticorps);83014;Chorioméningite lymphocytaire (VCML)  détection (anticorps);;CML, LCM, VCML;Symptômatique et/ou exposition à des souris ou à leurs excréments.;Sérologie;Délai du LNM (14 jours) + 6 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Chorioméningite lymphocytaire - Détection d'anticorps;Humain;CML;Chorioméningite lymphocytaire;Envoi au LNM.;Catégorie B;
48;Chorioméningite lymphocytaire (VCML): détection (TAAN);83015;Chorioméningite lymphocytaire (VCML)  détection (TAAN);;Chorioméningo, chorioméningite, chorioméningite lymphocytaire,VCML;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM + 4 jours ouvrables;1,5 -2 ml de sang total-EDTA, sérum, LCR;TAAN;Chorioméningite lymphocytaire- Recherche d'acides nucléiques;Humain;VCML;Chorioméningite lymphocytaire VCML;Envoi au LNM.;Catégorie B;
50;Clostridioides difficile (Clostridium difficile):  investigation d'éclosion (typage, EGCP);81044;Clostridioides difficile (Clostridium difficile)  investigation d'éclosion (typage, EGCP);;C. difficile, éclosion;Veuillez contacter le LSPQ. Service d'investigation d'éclosions. Mettre dans un tube conique en plastique à bouchon vissé de 15 ml.;Bactériologie;10 à 15 jours ouvrables;Selles congelées (1-3 ml) à -20 °C ou -70 °C ou Souche - Culture;Isolement sur milieux de culture, typage moléculaire par ribotypage, détection des gènes toxines par PCR, technologie MALDI-TOF;Investigation d'éclosion;Humain;CDIF;6-C.difficile;Service d'investigation d'éclosions;Catégorie B;
51;Clostridioides difficile (Clostridium difficile): confirmation (TAAN et ribotypage);81043;Clostridioides difficile (Clostridium difficile) confirmation (TAAN et ribotypage);;C. difficile;Mettre dans un tube conique en plastique à bouchon vissé de 15 ml.;Bactériologie;10 à 15 jours ouvrables;Selles congelées (1-3 ml) à -20 °C ou -70 °C ou Souche - Culture;Confirmation;Confirmation;Humain;CDIF;6-C.difficile;N/A;Catégorie B;
52;Clostridioides difficile (Clostridium difficile): programme de surveillance;81045;Clostridioides difficile (Clostridium difficile) programme de surveillance;;C. difficile, surveillance;Programme de surveillance. Mettre dans un tube conique en plastique à bouchon vissé de 15 ml.;Bactériologie;N/A;Selles congelées (1-3 ml) à -20 °C ou -70 °C ou Souche - Culture;Isolement sur milieux de culture, typage moléculaire par ribotypage, détection des gènes toxines par PCR, technologie MALDI-TOF;Surveillance;Humain;CDIF;6-C.difficile;Programme de surveillance;Catégorie B;
49;Clostridium botulinum: isolement, identification, toxinotypie (neutralisation);82013;Clostridium botulinum  isolement, identification, toxinotypie (neutralisation);;Botulisme, toxine botulinique;Doit être accompagné d'une lettre décrivant la symptologie du patient.;Bactériologie;15 à 20 jours ouvrables;Sérum (minimum 4 ml) prélevé avant l'administration de l'antitoxine, Selles (10 g) ou plus  ou jus gastrique (réfrigérés);Isolement sur milieux de culture, inoculation chez la souris, neutralisation;Identification;Humain;CNEU;C. botulinum neurotoxine;"Envoi au Centre de référence pour le botulisme à
Ottawa.";Catégorie A (cultures uniquement);
53;Cocci Gram négatif (autre qu'anaérobie et Neisseriaceae): identification (séquençage);81017;Cocci Gram négatif (autre qu'anaérobie et Neisseriaceae)  identification (séquençage);;Cocci à gram négatif, coccobacille;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;Identification;Identification;Humain;ID;1-Routine;N/A;Catégorie B;
54;Cocci Gram positif (autre qu'anaérobie, S. aureus et S. pneumoniae): antibiogramme (dilution en bouillon);81016;Cocci Gram positif (autre qu'anaérobie, S. aureus et S. pneumoniae)  antibiogramme (dilution en bouillon);;Cocci à gram positif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;10 à 20 jours ouvrables;Souche - Culture;CMI - microdilution;Antibiogramme;Humain;ID;1-Routine;N/A;Catégorie B;
55;Cocci Gram positif (autre qu'anaérobie, S. aureus et S. pneumoniae): identification (séquençage);81015;Cocci Gram positif (autre qu'anaérobie, S. aureus et S. pneumoniae)  identification (séquençage);;Cocci à gram positif;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;Identification;Identification;Humain;ID;1-Routine;N/A;Catégorie B;
56;Coccidioides immitis: détection (anticorps);87034;Coccidioides immitis  détection (anticorps);;Coccidioimycose;Une justification est requise afin que nous puissions effectuer l'analyse, veuillez l'inscrire dans le champ "Autres données pertinentes". Le patient doit avoir séjourné dans une région endémique (régions désertiques du Sud-Ouest des États-Unis, Amérique du Sud ou Centrale).;Sérologie;"12 jours ouvrables 
2 à 3 semaines si confirmation en Alberta";"Sérum (0,5 ml)
 Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.";EIA, Immunodiffusion;Coccidioides  immitis - Détection d'anticorps;Humain;COCC;Coccidioïdes IgG/IgM;Fait au LSPQ;Catégorie B;
;Coronavirus (SARS-CoV-2, COVID-19) : détection (TAAN) sur spécimen clinique;83055;Coronavirus (SARS-CoV-2, COVID-19)  détection (TAAN) sur spécimen clinique;;Wuhan, Covid-19, 2019-nCoV;Il n'est plus requis d'aviser le LSPQ avant l'envoi d'un échantillon. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/coronavirus-sars-cov-2covid-19-detection-taan-sur-specimen-clinique).;Biologie moléculaire;6 à 24 heures;Échantillon respiratoire (0,5 ml) conservé au réfrigérateur et acheminé sur ice-packs après entente préalable avec le LSPQ.;TAAN;Coronavirus (SARS-CoV-2) - Recherche d'acides nucléiques;Humain;NCOV;2019-nCoV;Consulter le guide des services.;Catégorie B;
57;Coronavirus (MERS-CoV): détection (TAAN) sur spécimen clinique;83054;Coronavirus (MERS-CoV)  détection (TAAN) sur spécimen clinique;;coronavirus, Mers-CoV, mers, corona, moyen-orient, corona du moyen-orient, MRSI;Un appel téléphonique  doit être placé au LSPQ avant l'envoi d'échantillons. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/mers-cov-coronavirus-du-syndrome-respiratoire-du-moyen-orient).;Biologie moléculaire;6 à 24 heures;Échantillon respiratoire (0,5 ml) conservé au réfrigérateur et acheminé sur ice-packs après entente préalable avec le LSPQ.;TAAN avec détection en temps réel;MERS CoV - Recherche d'acides nucléiques;Humain;MERS;MERS-CoV;"Consulter le guide des services et contacter le
LSPQ.";Catégorie B;
58;Corynebacterium diphtheriae: recherche et production de toxine (TAAN, test d'Elek);82015;Corynebacterium diphtheriae  recherche et production de toxine (TAAN, test d'Elek);;Diphtérie, bacille de Klebs-Loeffer;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;5 à 15 jours ouvrables;Souche - Culture;TAAN - Séquençage;Identifcation;Humain;ID;1-Routine;Si présence du gène tox par TAAN, la souche est envoyée au LNM pour la réalisation du test d'Elek.;Catégorie B;
59;Coxiella burnetii (fièvre Q): détection (TAAN);82028;Coxiella burnetii (fièvre Q) détection (TAAN);;Fièvre Q;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Sérologie;Délai du LNM (15 jours) + 6 jours ouvrables;Sang total (0,5 ml), LCR  (0,5 ml) réfrigérés, biopsie conservée congelée;TAAN;Coxiella burnetii - Recherche d'acides nucléiques;Humain;FQ;Coxiella burnetii PCR;Envoi au LNM.;Catégorie B;
60;Cryptosporidium spp.: identification (microscopie);86003;Cryptosporidium spp.  identification (microscopie);;Cryptosporidium parvum, Cryptosporidium hominis, Coccidies, Sporozoaires;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;4 à 10 jours ouvrables;Selles ou liquide duodénal fixé dans le SAF, entreposé et envoyé à température pièce.;Coloration et microscopie;Identification;Humain;PA;Parasitologie;N/A;Catégorie B;
61;Cryptosporidium spp.: investigation éclosion (typage);86002;Cryptosporidium spp.  investigation éclosion (typage);;Cryptosporidium parvum, Cryptosporidium hominis, Coccidies, Sporozoaires, éclosion;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;N/A;Selles (3 ml)  conservées congelées;PCR conventionnelle et séquençage;Investigation d'éclosion;Humain;CRYP;Cryptosporidium sp. PCR (selle congelée);N/A;Catégorie B;
62;Dengue: détection (anticorps);83006;Dengue  détection (anticorps);;Fièvre Dengue;Veuillez fournir l'historique de voyage et les symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;10 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA IgM et IgG;Dengue - Détection d'anticorps;Humain;DEN;Dengue;Fait au LSPQ.;Catégorie B;
63;Echinococcus granulosus: détection (anticorps);86030;Echinococcus granulosus  détection (anticorps);;Echinococcus, Hydatidose, Kyste hydatique, E. granulosus, E. multilocularis ;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Echinococcose - Détection d'anticorps;Humain;ECHI;Echinococcose;Envoi au CNRP;Catégorie B;
64;Echinococcus granulosus: détection (TAAN) sur spécimen clinique;86031;Echinococcus granulosus  détection (TAAN) sur spécimen clinique;;Echinococcus, Hydatidose, Kyste hydatique;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Biopsie (0,5 g), liquide d'abcès (1 ml). Conservée et envoyée au LSPQ entre 2 et 8°C.;TAAN;Echinococcose - Recherche d'acides nucléiques;Humain;ECHP;Echinococcose PCR;Envoi au CNRP;Catégorie B;
65;Echinococcus granulosus: identification (microscopie);86029;Echinococcus granulosus  identification (microscopie);;Echinococcose, hydatidose, kyste hydatique;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;5 à 10 jours ouvrables;Pus hépatique fixé dans le SAF, entreposé et envoyé à la température ambiante.;Coloration et microscopie;Identification;Humain;PA;Parasitologie;N/A;Catégorie B;
66;Ectoparasites (acariens, tiques, poux, puces, punaises, larves de mouche): identification (microscopie);86011;Ectoparasites (acariens, tiques, poux, puces, punaises, larves de mouche)  identification (microscopie);;Ectoparasites, Insectes, Larves de mouche, Myiases, Poux, Puces, Punaises;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;1 à 3 jours ouvrables;"Conservé et expédié à température pièce, dans un contenant hermétique bien identifié, sans fixateur, papier, ouate ou gaze.
Sarcoptes scabiei (gale): Les squames (gale) sont prélevées dans l’huile minérale à l’aide d’un scalpel et déposées sur une lame de microscope pour examen. Les frottis contenant des squames dans l’huile minérale sont lutés avant l’envoi au LSPQ.";Microscopie;Identification;Humain;TIQ;Identification arthropodes et vers;Pour de plus amples renseignements sur les analyses des tiques, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/maladie-de-lyme-analyse-des-tiques).;Pas une matière dangereuse;
67;Ehrlichia chaffeensis: détection (anticorps);82037;Ehrlichia chaffeensis  détection (anticorps);;Ehrlichiose monocytaire;Veuillez spécifier l'historique de voyage dans le champ "Pays visité". Le patient doit avoir voyagé dans une région endémique.;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;Sérum (0,5 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;IFA;Ehrlichia chaffensis - Détection d'anticorps;Humain;EHRL;Ehrlichia chaffeensis;Envoi au LNM;Catégorie B;
68;Ehrlichia chaffeensis: détection (TAAN);82038;Ehrlichia chaffeensis  détection (TAAN);;Ehrlichiose monocytaire;Veuillez spécifier l'historique de voyage dans le champ "Pays visité". Le patient doit avoir voyagé dans une région endémique.;Sérologie;Délai du LNM (21 jours) + 4 jours ouvrables;"Sang total (1 ml), couche leucoplaquettaire (0,25 ml), Conservé et envoyé au LSPQ entre 2 et 8°C.
LCR (1 ml) dans un contenant stérile sans additif. Garder congelé à -20°C et expédier sur glace sèche.";PCR temps réel;Ehrlichia chaffensis - Recherche d'acides nucléiques;Humain;EHPC;Ehrlichia chaffeensis PCR;Envoi au LNM;Catégorie B;
70;Encéphalite équine de l'est: détection (anticorps) ;83017;Encéphalite équine de l'est  détection (anticorps) ;;EEE, VEEE;Veuillez spécifier l'historique de voyage et la nature des symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;Délai du LNM + 6 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C. Le LCR (0,2mL) peut être testé s'il y a présence d'anticorps anti-EEE dans le sérum démontré par IHA;IHA;VEEE - Détection d'anticorps;Humain;EEE;Encéphalite équine de l'est;Envoi au LNM.;Catégorie B;
71;Encéphalite japonaise: détection (anticorps);83018;Encéphalite japonaise  détection (anticorps);;VEJ, EJ;Veuillez spécifier l'historique de voyage et la nature des symptômes dans les champs "Pays visité" et "Autres données pertinentes".;Sérologie;Délai du LNM + 6 jours ouvrables;Sérum (0,5mL) Conservés et transportés réfrigéré, de 2-8°C. Le LCR (0,2mL) peut être testé s'il y a présence d'anticorps anti-flavivirus dans le sérum démontré par IHA;IHA;VEJ - Détection d'anticorps;Humain;EJAP;Encéphalite japonaise;Envoi au LNM.;Catégorie B;
72;Entamoeba histolytica (amibiase): détection (anticorps);86006;Entamoeba histolytica (amibiase)  détection (anticorps);;Entamoeba, Amibe, E. histolytica, Amoebiasis, Amibiase;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Amibiase - Détection d'anticorps;Humain;ENTA;Entamoeba;Envoi au CNRP. Si urgent, envoi direct au CNRP.;Catégorie B;
73;Entamoeba histolytica/dispar (amibiase): détection (TAAN) sur spécimen clinique;86005;Entamoeba histolytica/dispar (amibiase)  détection (TAAN) sur spécimen clinique;;Amibes, amibiase, Entamoeba dispar, Entamoeba histolytica, Entamoeba spp.;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/entamoeba-histolyticadispar-differenciation).;Biologie moléculaire;10 jours ouvrables;Selles fraîches congelées sans fixateur ou ponction hépatique ou autre type d'échantillon après entente au préalable. L'échantillon doit être conservé congelé et expédié sur glace sèche.;TAAN;Entamoeba spp. - Recherche d'acides nucléiques;Humain;AN;Amibes - Détection;N/A;Catégorie B;
74;Entérococcus spp. : détection des gènes van A-G (TAAN)   ;81042;Entérococcus spp.   détection des gènes van A-G (TAAN)   ;;ERV, VRE, entérocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;10 à 15 jours ouvrables;Souche - culture;TAAN - gènes Van A à G;Identification;Humain;MA7;7. Entérocoques;N/A;Catégorie B;
75;Enterococcus spp.: antibiogramme (microdilution en bouillon) ;81041;Enterococcus spp.  antibiogramme (microdilution en bouillon) ;;ERV, VRE, entérocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;;Souche - culture;CMI - microdilution;Antibiogramme;Humain;CMI7;CMI Entérocoques complet;N/A;Catégorie B;
76;Enterococcus spp.: identification (séquençage);81040;Enterococcus spp.  identification (séquençage);;ERV, VRE, entérocoque;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;;Souche - culture;TAAN - séquençage;Identification;Humain;MA7;7. Entérocoques;N/A;Catégorie B;
77;Entérovirus: détection et génotypage (sauf poliovirus) (TAAN) sur spécimen clinique;83069;Entérovirus  détection et génotypage (sauf poliovirus) (TAAN) sur spécimen clinique;;Entérovirus;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/enterovirus-typage-moleculaire).;Biologie moléculaire;Délai du LNM + 4 jours ouvrables;Consulter le guide des services du LNM.;TAAN - séquençage;Entérovirus - Génotypage;Humain;ENPAR;Entérovirus / Paréchovirus;Envoi au LNM.;Catégorie B;
78;Escherichia coli O157:H7 et O157:H non mobile: programme de surveillance;81031;Escherichia coli O157:H7 et O157:H non mobile programme de surveillance;;Escherichia coli O157, O157, surveillance;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;2 à 5 jours ouvrables (Sérotypage);Souche - Culture;Identification, sérotypage, typage par séquençage du génome entier;Programme de surveillance;Humain;STEC;STEC;"Programme de surveillance ou confirmation
0157:H7.";Catégorie A;
;Escherichia coli producteur de Shiga-toxines (STEC) autre que O157: isolement, identification (TAAN, sérotypage) sur bouillon;;Escherichia coli producteur de Shiga-toxines (STEC) autre que O157 isolement, identification (TAAN, sérotypage) sur bouillon;;STEC, STX, shigatoxine;Programme de surveillance. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;20 jours ouvrables;Bouillon positif pour stx;Culture, TAAN, séquençage du génome entier;Identification;Humain;STEC;STEC;;Catégorie A;
79;Fasciola hepatica: détection (anticorps);86036;Fasciola hepatica  détection (anticorps);;Fasciolose, Fascioliasis, Fasciolase;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;EIA;Fasciolase - Détection d'anticorps;Humain;FACI;Faciola hepatica;Envoi au CNRP;Catégorie B;
80;Fièvre jaune: détection (anticorps);83019;Fièvre jaune  détection (anticorps);;VFJ, FJ;Veuillez spécifier si le patient a été vacciné pour la fièvre jaune et fournir les antécédents de voyage dans les champs "Pays visité" et "Autres données pertinentes". ;Sérologie;Délai du LNM (14 jours) + 6 jours ouvrables;Sérum (0,5mL) Conservés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;PRNT;VFJ - Détection d'anticorps;Humain;FJAU;Fièvre jaune;Envoi au LNM.;Catégorie B;
81;Francisella tularensis:  détection (TAAN) sur spécimen primaire;82007;Francisella tularensis   détection (TAAN) sur spécimen primaire;;Tularémie, bacille de Francis;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;;Sang total (volume minimum requis 0,5 ml), Liquide céphalo-rachidien (LCR) (volume minimum requis 0,5 mL) ou colis suspect;Identification conventionnelle (tests biochimiques), agglutination sur lame et TAAN en temps réel;Identification;Humain;GR3;GR3;N/A;Catégorie B;
82;Francisella tularensis: détection (anticorps);82009;Francisella tularensis  détection (anticorps);;Tularémie, bacille de Francis;Veuillez fournir une justification clinique ou un sérum sériel. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/francisella-tularensis-anticorps).;Sérologie;10 à 15 jours ouvrables;Sérum (0,5 ml) ou 2 sérums prélevés à intervalle de 10 à 15 jours demandés sur 2 requêtes distinctes. Concervés entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Agglutination en tubes;Francisella tularensis - Détection d'anticorps;Humain;TUL;Tularémie;Fait au LSPQ;Catégorie B;
83;Francisella tularensis: identification (TAAN) sur culture *GR3*;82008;Francisella tularensis  identification (TAAN) sur culture *GR3*;GR3;Tularémie, bacille de Francis;Inscrire l'information sur l'histoire de chasse ou de manipulations d'animaux dans le champ "Autres données pertinentes".;Bactériologie;2 à 5 jours ouvrables;Souche - culture;Identification conventionnelle (tests biochimiques), agglutination sur lame et TAAN en temps réel;Identification;Humain;GR3;GR3;N/A;Catégorie A;
84;Gastroentérite d'allure virale: détection de virus entériques (TAAN) (multiplex) sur spécimen clinique;83060;Gastroentérite d'allure virale détection de virus entériques (TAAN) (multiplex) sur spécimen clinique;;Norovirus, calicivirus, Caliciviridae, Norwalk, gastroentérites, gastro, virus entériques;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses/agents-de-gastroenterites-virales-detection-d-acides-nucleiques).;Biologie moléculaire;3 à 10 jours ouvrables;Selles (0,5 ml)  5 à 10 spécimens par éclosion. Envoyés sur sachets réfrigérants (ice pack).;TAAN (Caliciviridae et rotavirus);Agents de gastroentérite virale - Recherche d'acides nucléiques;Humain;GE;Caliciviridae;Diagnostic d'éclosion.;Catégorie B;
85;Gnathostoma spinigerum: détection (anticorps);86035;Gnathostoma spinigerum  détection (anticorps);;Gnathostomose;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Parasitologie;Délai du CNRP + 4 jours ouvrables;Sérum (1 ml) Entre 2 et 8°C si envoyé au LSPQ dans les 48 h. Sinon, conservés et transportés à -20°C.;Immunoblot;Gnathostomose - Détection d'anticorps;Humain;GNAT;Gnathostomose;Envoi au CNRP, Université Mahidol, ThaÏlande;Catégorie B;
86;Haemophilus ducreyi: détection (TAAN);82059;Haemophilus ducreyi  détection (TAAN);;chancre mou;Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Bactériologie;Délai du LNM + 4 jours ouvrables;Prélèvement par écouvillon fait à la base de l'ulcère génital;TAAN;Recherche d'acide nucléique;Humain;HDUC;Haemophilus ducreyi PCR;N/A;Catégorie B;
87;Haemophilus influenzae: détection (TAAN) sur spécimen primaire;81087;Haemophilus influenzae  détection (TAAN) sur spécimen primaire;;HI, Haemophilus influenzae;Recherche de S. pneumoniae et/ou N. meningitidis  peut être demandée sur le même spécimen. Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).;Marqueurs épidémiologiques;5 à 10 jours ouvrables;Extrait d'ADN ou liquide biologique stérile (1 ml) sur glace sèche  pour les prélèvements sanguins, utiliser les tubes avec EDTA.;TAAN;Recherche d'acide nucléique;Humain;MA22;2. H. influenzae - PCR;Envoi au LNM. Recherche de S. pneumoniae et/ou N. meningitidis  peut être demandée sur le même spécimen.;Catégorie B;
88;Haemophilus influenzae: détermination du type capsulaire (TAAN);81088;Haemophilus influenzae  détermination du type capsulaire (TAAN);;HI, Haemophilus influenzae, type capsulaire;"Si demande urgente, contacter le professionnel responsable. 
Pour de plus amples renseignements, veuillez-vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;2 à 10 jours ouvrables;Souche - Culture;TAAN et séquençage;Confirmation;Humain;MA6;6. Haemophilus influenzae;N/A;Catégorie B;
89;Haemophilus influenzae: programme de surveillance;81089;Haemophilus influenzae  programme de surveillance;;HI, Haemophilus influenzae, surveillance;"Programme de surveillance. Si demande urgente, contacter le professionnel responsable.
Pour de plus amples renseignements, veuillez vous référer au guide des services (https://www.inspq.qc.ca/lspq/repertoire-des-analyses).";Marqueurs épidémiologiques;N/A;Souche isolée de site normalement stérile.;TAAN;Programme de surveillance;Humain;MA6;6. Haemophilus influenzae;Programme de surveillance. Si demande urgente, contacter le professionnel responsable.;Catégorie B;
