Clinique médicale privée des Mille-Îles;230, ch. de la Grande-Côte;;Courrier postal;;Responsable;Clinique médicale privée des Mille-Îles;CMPMILES;CMPMILES1;MAIL;|
Clinique médicale ProActive Santé;38-400 Boul Jean-Lesage;418-781-0022;Courrier postal;;Responsable;Clinique médicale ProActive Santé;CMPACTS;CMPACTS1;MAIL;|
Clinique médicale Quartier latin;905, boul. René Lévesque Est;514-285-5500;5142852226;5142852226;Responsable/Dr Denis Poirier;Clinique médicale Quartier latin;GMFQL;GMFQL1;FAX;|
Clinique médicale Saint-Augustin;334 , route 138;4188783590;Courrier postal;;Responsable;Clinique médicale Saint-Augustin;CMSAUG;CMSAUG1;MAIL;|
Clinique médicale Saint-Laurent;960, avenue Sainte-Croix;5147472555;Courrier postal;;Responsable;Clinique médicale Saint-Laurent;CMSLAU;CMSLAU1;MAIL;|
Clinique médicale Saint-Louis;3165, chemin Saint-Louis;;Courrier postal;;Responsable;Clinique médicale Saint-Louis;GMFSL;GMFSL1;MAIL;|
Clinique médicale VMS;6260,  Avenue Victoria;5142711210;Courrier postal;;Responsable;Clinique médicale VMS;CMVMS;CMVMS1;MAIL;|
Clinique Médi-Val;100-408 rue Jeanne-Mance;450-370-3387;Courrier postal;;Responsable;Clinique Médi-Val;CMVAL;CMVAL1;MAIL;|
Clinique Monchamp;227 rue Ste-Catherine, suite #102;1-450-632-2245;14506322795;14506322795;Responsable/Johanne Cummings;Clinique Monchamp;CMONT;CMONT1;FAX;|
Clinique Opus Inc.;1470, rue Peel, tour A, suite 850;;5147641957;5147641957;Responsable / France Savoir;Clinique Opus Inc.;COPUS;COPUS1;FAX;|
Clinique pédiatrique Laurentienne;200, rue Durand, bureau 106;1-450-438-1241;14504383501;14504383501;Responsable/Debboroah Hartmann;Clinique pédiatrique Laurentienne;CPLAU;CPLAU1;FAX;|
Clinique pédiatrique Sainte-Foy;950, de Bourgogne ;;Courrier postal;;Responsable;Clinique pédiatrique Sainte-Foy;CPSFOY;CPSFOY1;MAIL;|
Clinique réseau Statcare;175, avenue Stillview;;Courrier postal;;Responsable;Clinique réseau Statcare;CRSTAT;CRSTAT1;MAIL;|
CLSC de Bordeaux-Cartierville;11822, avenue du Bois-de-Boulogne;5143312572;Courrier postal;;Responsable;CLSC de Bordeaux-Cartierville;CINIM;CLBCARTIER;MAIL;|
CLSC de Donnacona;400, route 138   ;;Courrier postal;;Responsable;CLSC de Donnacona;CICN;CLDONNA;MAIL;|
CLSC de Grande-Vallée;71, rue Saint-François-Xavier O, C.P. 190;;Courrier postal;;Responsable;CLSC de Grande-Vallée;CIG;CLGVALL;MAIL;|
CLSC de Huntingdon;10, rue King, suite 200;;Courrier postal;;Responsable;CLSC de Huntingdon;C3HSL;CLHUNTING;MAIL;|
CLSC de la Petite-Patrie;6520 rue de Saint-Vallier;5142734508;Courrier postal;;Responsable;CLSC de la Petite-Patrie;CINIM;CLPPATRIE;MAIL;|
CLSC de l'Ancienne-Lorette;1320, rue Saint-Paul;;Courrier postal;;Responsable;CLSC de l'Ancienne-Lorette;CICN;CLALORR;MAIL;|
CLSC de Laurier-Station;135, rue de la Station ;;Courrier postal;;Responsable;CLSC de Laurier-Station;CICA;CLLSTATION;MAIL;|
CLSC de Murdochville;600, avenue William-May ;;Courrier postal;;Responsable;CLSC de Murdochville;CIG;CLMURD;MAIL;|
CLSC de Paspébiac;273, boul. Gérard-D.-Lévesque, C.P. 7000;;Courrier postal;;Responsable;CLSC de Paspébiac;CIG;CLPASPE;MAIL;|
CLSC de Pierrefonds;13800 boul. Gouin Ouest ;;Courrier postal;;Responsable;CLSC de Pierrefonds;CIOIM;CLPIERRE;MAIL;|
CLSC de Pohénégamook;1922, rue Saint-Vallier;;Courrier postal;;Responsable;CLSC de Pohénégamook;CIBSL;CLPOHEN;MAIL;|
CLSC de Saint-Chrysostome;21, rang Sainte-Anne;;Courrier postal;;Responsable;CLSC de Saint-Chrysostome;C3HSL;CLSCHRYS;MAIL;|
CLSC de Sainte-Foy-Sillery;3108, chemin Sainte-Foy;;Courrier postal;;Responsable;CLSC de Sainte-Foy-Sillery;CICN;CLSFSILL;MAIL;|
CLSC de Senneterre;961, rue de la Clinique, C.P. 4000 ;;Courrier postal;;Responsable;CLSC de Senneterre;CIAT;CLSENNE;MAIL;|
CLSC de Sept-Iles;405, avenue Brochu;;Courrier postal;;Responsable;CLSC de Sept-Iles;CICNO;CLSILES;MAIL;|
CLSC des Faubourgs (Parthenais);2260, rue Parthenais;;Courrier postal;;Responsable;CLSC des Faubourgs (Parthenais);CICEIM;CLFAUPART;MAIL;|
CLSC des Faubourgs (Sanguinet);1250, rue Sanguinet;;Courrier postal;;Responsable;CLSC des Faubourgs (Sanguinet);CICEIM;CLFAUSAN;MAIL;|
CLSC des Faubourgs (Visitation);1705, rue de la Visitation ;;Courrier postal;;Responsable;CLSC des Faubourgs (Visitation);CICEIM;CLFAUVIS;MAIL;|
CLSC du Plateau-Mont-Royal;4625, avenue de Lorimier ;;Courrier postal;;Responsable;CLSC du Plateau-Mont-Royal;CICEIM;CLPMROYAL;MAIL;|
CLSC et Centre ambulatoire de Vaudreuil-Dorion;3031 boul. de la gare;14504556171;Courrier postal;;Responsable;CLSC et Centre ambulatoire de Vaudreuil-Dorion;CIMO;CLSCVD;MAIL;|
CLSC et Centre d'Hébergement la Petite-Nation;14, rue Saint-André;;Courrier postal;;Responsable;CLSC et Centre d'Hébergement la Petite-Nation;CIO;CLCEPNATION;MAIL;|
CLSC et CHSLD de Saint-Jean-Port-Joli;430, rue Jean-Leclerc, C.P. 250 ;;Courrier postal;;Responsable;CLSC et CHSLD de Saint-Jean-Port-Joli;CICA;CLLDSJPJOLI;MAIL;|
CLSC Metro;1801 boulevard de Maisonneuve;514-934-0354;Courrier postal;514-934-9128;Responsable;CLSC Metro;CLMETRO;CLMETRO1;MAIL;|
CLSC Saint-Louis-du-Parc;100-15 Av du Mont-Royal E;514-286-9657;Courrier postal;;Responsable;CLSC Saint-Louis-du-Parc;CICEIM;CLSLPARC;MAIL;|
CLSC Samuel de Champlain (Brossard);5811, boul. Taschereau, bureau 100;;Courrier postal;;Responsable;CLSC Samuel de Champlain (Brossard);CIMC;CLSCHAMP;MAIL;|
CLSC Samuel de Champlain (Lemoyne);2499 rue Saint-Georges, bur.200;;Courrier postal;;Responsable;CLSC Samuel de Champlain (Lemoyne);CIMC;CLSCHAMPPS;MAIL;|
CLSC Vallée des Forts;978, boul. du Séminaire Nord;;Courrier postal;;Responsable;CLSC Vallée des Forts;CIMC;CLVFORTS;MAIL;|
CLSC, Centre d'Hébergement et Hôpital Cloutier-du-Rivage;155, rue Toupin;;Courrier postal;;Responsable;CLSC, Centre d'Hébergement et Hôpital Cloutier-du-Rivage;CIMCQ;HOCLCECDURI;MAIL;|
CLSC-Centre d'Hébergement de Windsor;23, rue Ambroise-Dearden;;Courrier postal;;Responsable;CLSC-Centre d'Hébergement de Windsor;CIECHUS;CLCEWIND;MAIL;|
Cmc Mistassini;302, rue Queen;;14189233653;14189233653;Responsable;Cmc Mistassini;CCSBJ;DIMISTAS;FAX;|
College of American Pathologists;325 Waukegan Rd.;708-446-8800;Courrier postal;;Responsable;College of American Pathologists;CAP;CAPATH;MAIL;|
Comparative Medicine and Animal Resources Centre;3655, rue Drummond, Room 1440;514 398-3510;Courrier postal;;Responsable;Comparative Medicine and Animal Resources Centre;UMG;CUMCMARC;MAIL;|
Conseil Cri de la SSS da la Baie-James (Hôpital);Casier postal 250;;Courrier postal;;Responsable;Conseil Cri de la SSS da la Baie-James (Hôpital);CCSBJ;CC3BJ250;MAIL;|
Conseil Cri de la SSS de la Baie-James;Case postal 420;8 198 552 844;18 198 552 551;18198552551;Responsable/Nathalie Laflamme;Conseil Cri de la SSS de la Baie-James;CCSBJ;CC3BJ;FAX;|
Conseil Cri de la SSS de la Baie-James;277, rue Duke, bureau 201;514-861-2352  poste 225;5148615206;5148615206;Responsable MADO;Conseil Cri de la SSS de la Baie-James;MSSS;DSP18;FAX;|
Conseil Cri de la SSS de la Baie-James;277, rue Duke, bureau 201;514-861-2352  poste 225;5148615206;5148615206;Responsable/Robert Carlin;Conseil Cri de la SSS de la Baie-James;MSSS1;DSP 18;FAX;|
Coop Santé de la Basse-Lièvre;620 Ave de Buckingham;1-819-986-6006 poste 246;18199861616;18199861616;Responsable/Claire Aubry;Coop Santé de la Basse-Lièvre;CMCSBASLIE;CMCSBASLIE1;FAX;|
Coop santé TémiscaVie;19 rue Dollard;819-622-2433;Courrier postal;;Responsable;Coop santé TémiscaVie;CMCSTEM;CMCSTEM1;MAIL;|
Corporation Steris Canada;490 Boul. Armand-Paris;418-664-1549;Courrier postal;;Responsable;Corporation Steris Canada;LPCSTERC;LPCSTERC1;MAIL;|
CSC de l'Enfant-Jésus RHSJ;1, boul. Saint-Pierre Ouest;;Courrier postal;;Responsable;CSC de l'Enfant-Jésus RHSJ;CSCHJ;CSCHJ1;MAIL;|
CSSS d'Argenteuil;145, avenue de La Providence;1-450-562-3761;14505663305;14505663305;Responsable/Martine Moderie;CSSS d'Argenteuil;CILAU;C3ARGENT;FAX;|
CSSS de la Baie-des-chaleurs;273, boul. Gérard-D.-Lévesque, C.P. 7000;;Courrier postal;;Responsable;CSSS de la Baie-des-chaleurs;CIG;CSBDC;MAIL;|
CSSS de la Basse-Côte-Nord;1070, boul. Docteur-Camille-Marcoux, C.P. 130;1-418-461-2144 poste 259;14184612578;14184612578;Responsable/Suzanne Gémus;CSSS de la Basse-Côte-Nord;CICNO;C3BCNORD;FAX;|
CSSS de la Haute-Côte-Nord  Pav. Escoumins;4, rue de l'Hôpital, C.P. 1000;1-418-233-2931 poste 2295;14182333128;14182333128;Responsable/Mme Johanne Bouchard;CSSS de la Haute-Côte-Nord  Pav. Escoumins;CICNO;C3HCNORDES;FAX;|
CSSS de la Haute-Côte-Nord Pav. Forestville;2, 7e Rue, C.P. 790;1-418-587-2212;14185876371;14185876371;Responsable/Linda Ouellet;CSSS de la Haute-Côte-Nord Pav. Forestville;CICNO;C3HCNORDFO;FAX;|
CSSS de la Minganie;1035, des Anciens;1-418-538-2212  poste 497;14185381416;14185381416;Responsable/Monique Bellemare;CSSS de la Minganie;CICNO;C3MING;FAX;|
CSSS de la Mitis (Hôp. de Mont-Joli);800, avenue Sanatorium;1-418-775-7261 poste 4160;14187754356;14187754356;Responsable/Jean-Claude Boucher;CSSS de la Mitis (Hôp. de Mont-Joli);CIBSL;C3MITISMJ;FAX;|
CSSS de la Vallée-de-l'Or;725, 6e rue;8 198 255 858;18 198 257 942;18198257942;Responsable/Judith Laberge;CSSS de la Vallée-de-l'Or;CIAT;CSVDOR;FAX;|
CSSS de l'Hématite;1, rue Aquilon, C.P. 550;1-418-287-3280;14182875465;14182875465;Responsable/Sylvie Fiset;CSSS de l'Hématite;CICNO;C3HEMAT;FAX;|
CSSS de Port-Cartier;3, rue de Shelter Bay;1-418-766-2572  poste 3210;14187660262;14187660262;Responsable/Julie Drouin;CSSS de Port-Cartier;CICNO;C3PCART;FAX;|
CSSS Haut-Richelieu/Rouville (Hôpital);920 Boul. du Séminaire Nord;;14503595237;14503595237;Responsable/Diane Murphy;CSSS Haut-Richelieu/Rouville (Hôpital);CIMC;C3SRRR;FAX;|
CUSM-Site Glen-Institut de Rech. (E035375 CNRP-SÉRO);1001, rue Décarie ;514-934-8347;5149348347;5149348347;Responsable/Dr. Momar Ndao;Site Glen-Institut de Rech. (E035375 CNRP-SÉRO);CUSM;HOSGIRCNRP;FAX;|
CUSM-Site Glen-institut de rech. (PARASITO. RÉF.);1001 rue Décarie;5149348347;5149344476;5149344476;Responsable;Site Glen-institut de rech. (PARASITO. RÉF.);CUSM;HOSGIRPR;FAX;|
CUSM-Site Glen-Institut Thoracique de Montréal;1001, rue Décarie;514-934-1934 poste 32588;5148432070;5148432070;Responsable/TB Clinic;Institut Thoracique de Montréal (Site Glen);CUSM;CHITHO;FAX;|
CUSM-Site Glen-Lab Central-Envois;1001, rue Décarie;514-934-1934;5148431584;5148431584;Responsable;CUSM-Site Glen-Lab Central-Envois;CUSM;HOSGC;FAX;|
CUSM-Site Glen-LAB Microbiologie;1001, rue Décarie;514-934-1934 poste 34077;5149344476;5149344476;Responsable/Dr Jerry Zaharatos;CUSM-Site Glen-LAB Microbiologie;CUSM;HOSGG;FAX;|
Data & Specimen Handling Sect.;BLDG.4  RM.B35-G12 1600 Clifton RD. NE;;Courrier postal;;Responsable;Data & Specimen Handling Sect.;CDCP;DSHS;MAIL;|
Diex Recherche inc;731, rue Galt Ouest;;Courrier postal;;Responsable;Diex Recherche inc;LPDREC;LPDREC1;MAIL;|
Dispensaire Schefferville / labo;C.P. 1059;418 585-2645;Courrier postal;;Responsable;Dispensaire Schefferville / labo;DSCHEF;DSCHEF1;EMAIL;|
Dr J. D. Shannon;4492, rue Sherbrooke Ouest;;Courrier postal;;Responsable;Dr J. D. Shannon;CDJDSHA;CDJDSHA1;MAIL;|
DSM Biologics;6000, avenue Royalmount;;Courrier postal;;Responsable;DSM Biologics;LPDMSBIO;LPDMSBIO1;MAIL;|
DSP de Chaudière-Appalaches;363, route Cameron;418-386-3546;14183891560;14183891560;Responsable MADO;DSP de Chaudière-Appalaches;MSSS;DSP12;FAX;|
DSP de Chaudière-Appalaches;363, route Cameron;418-389-1511;14183891560;14183891560;Responsable/Diane Morin;DSP de Chaudière-Appalaches;MSSS1;DSP 12;FAX;|
DSP de la Capitale Nationale;2400, avenue d'Estimauville;14186667000 poste 247;14186617153;14186617153;Responsable/Nathalie Beaulieu;DSP de la Capitale Nationale;MSSS1;DSP 3;FAX;|
DSP de la Capitale-Nationale;2400, avenue d'Estimauville;1-418-666-7000 poste 247;14186617153;14186617153;Responsable MADO;DSP de la Capitale-Nationale;MSSS;DSP3;FAX;|
DSP de la Côte-Nord;691, rue Jalbert;418-589-9845  poste 2278;14185891603;14185891603;Responsable MADO;DSP de la Côte-Nord;MSSS;DSP9;FAX;|
DSP de la Gaspésie - Îles-de-la-Madeleine;144 Boul. Gaspé;1-418-368-2443;14183601301;14183601301;Responsable MADO;DSP de la Gaspésie - Îles-de-la-Madeleine;MSSS;DSP11;FAX;|
DSP de la Gaspésie - Îles-de-la-Madeleine;205-1, boul. de York Ouest;418-368-4610;14183601301;14183601301;Responsable/Christine Minville;DSP de la Gaspésie - Îles-de-la-Madeleine;MSSS1;DSP 11;FAX;|
DSP de la Mauricie et du Centre-du-Québec;550, rue Bonaventure, 3e étage;819-374-7711, poste 58138;18663776236;18663776236;Responsable MADO;DSP de la Mauricie et du Centre-du-Québec;MSSS;DSP4;FAX;|
DSP de la Mauricie et du Centre-du-Québec;550, rue Bonaventure, 3e étage;819-693-3943;18663776236;18663776236;Responsable/Fernand Guillemette;DSP de la Mauricie et du Centre-du-Québec;MSSS1;DSP 4;FAX;|
DSP de la Montérégie;1255, rue Beauregard;450-928-6777;14509283023;14509283023;Responsable MADO;DSP de la Montérégie;MSSS;DSP16;FAX;|
DSP de la Montérégie;1255, rue Beauregard;450-928-3203;14509283023;14509283023;Responsable/Kareen Nour;DSP de la Montérégie;MSSS1;DSP 16;FAX;|
DSP de l'Abitibi-Témiscamingue;1, 9e Rue, 4e étage;1-819-764-3264 poste 49408;18197644537;18197644537;Responsable MADO;DSP de l'Abitibi-Témiscamingue;MSSS;DSP8;FAX;|
DSP de l'Abitibi-Témiscamingue;1, 9e Rue, 4e étage;1-819-764-3264 poste 4940;18197644537;18197644537;Responsable/Mme Chantal Boulé;DSP de l'Abitibi-Témiscamingue;MSSS1;DSP 8;FAX;|
DSP de Lanaudière;245, rue du Curé-Majeau;1-855-759-6660;14507593742;14507593742;Responsable MADO;DSP de Lanaudière;MSSS;DSP14;FAX;|
DSP de Laval;800, boul. Chomedey, Tour A, 3e étage;450-978-2121  poste 2116;14509782118;14509782118;Responsable MADO;DSP de Laval;MSSS;DSP13;FAX;|
DSP de Laval;800, boul. Chomedey, Tour A, 3e étage;0-978-2121  poste 2116;14509782118;14509782118;Responsable/MADO;DSP de Laval;MSSS1;DSP 13;FAX;|
DSP de l'Estrie;300, rue King Est, bureau 300;819-829-3400;18195645435;18195645435;Responsable MADO;DSP de l'Estrie;MSSS;DSP5;FAX;|
DSP de l'Estrie;300, rue King Est, bureau 300;819-566-7861;18195645435;18195645435;Responsable/Carole Albert;DSP de l'Estrie;MSSS1;DSP 5;FAX;|
DSP de l'Outaouais;104, rue Lois;819-966-6484 poste 7458;18197703307;18197703307;Responsable MADO;DSP de l'Outaouais;MSSS;DSP7;FAX;|
DSP de l'Outaouais;104, rue Lois;1819 966 6484 poste 7458;18197703307;18197703307;Responsable/Horacio Arruda;DSP de l'Outaouais;MSSS1;DSP 7;FAX;|
DSP de Montréal;1301, rue Sherbrooke Est;514 528-2400 poste 3653;5145282461;5145282461;Responsable MADO;DSP de Montréal;MSSS;DSP6;FAX;|
DSP de Montréal;1301, rue Sherbrooke Est;14 528-2400 poste 3653;5145282461;5145282461;Responsable/Dr Richard Massé;DSP de Montréal;MSSS1;DSP 6;FAX;|
DSP des Laurentides;1000, rue Labelle, bureau 210;450-432-8732;14505696305;14505696305;Responsable/Éric Goyer;DSP des Laurentides;MSSS1;DSP 15;FAX;|
DSP des Laurentides, CRSSS Baie-James;1000, rue Labelle, bureau 210;450-432-8731;14505696305;14505696305;Responsable MADO;DSP des Laurentides, CRSSS Baie-James;MSSS;DSP15;FAX;|
DSP des Laurentides, Région Nord-du-Québec;1000, rue Labelle, bureau 210;450-432-8732;14505696305;14505696305;Responsable/Éric Goyer;DSP des Laurentides, Région Nord-du-Québec;MSSS1;DSP 10;FAX;|
DSP du Bas-Saint-Laurent;288, rue Pierre-Saindon, bur. 115;1-418-724-8464;14187248183;14187248183;Responsable MADO;DSP du Bas-Saint-Laurent;MSSS;DSP1;FAX;|
DSP du Bas-Saint-Laurent;288, rue Pierre-Saindon, bur. 115;1-418-724-8464;14187248183;14187248183;Responsable/Claude P. Gauthier;DSP du Bas-Saint-Laurent;MSSS1;DSP 1;FAX;|
DSP du CRSSS de la Baie-James, Laurentides;1000, rue Labelle, bureau 210;450-432-8731;14505696305;14505696305;Responsable MADO;DSP du CRSSS de la Baie-James, Laurentides;MSSS;DSP10;FAX;|
DSP du Nunavik;C.P. 900;819-964-2222;18668678026;18668678026;Responsable MADO;DSP du Nunavik;MSSS;DSP17;FAX;|
DSP du Nunavik;2400, rue d'Estimauville;819-964-2222;18668678026;18668678026;Responsable/Vincent Gilbert;DSP du Nunavik;MSSS1;DSP 17;FAX;|
DSP du Saguenay - Lac-Saint-Jean;599 rue Hôtel-Dieu;418-541-1055;14185450835;14185450835;Responsable MADO;DSP du Saguenay - Lac-Saint-Jean;MSSS;DSP2;FAX;|
DSP du Saguenay-Lac-Saint-Jean;412, rue Brassard;1-418-275-4980 poste 229;14185450835;14185450835;Responsable/Hélène Gagné;DSP du Saguenay-Lac-Saint-Jean;MSSS1;DSP 2;FAX;|
DSP et d'évaluation de Lanaudière;245, rue du Curé-Majeau;57  poste 4450 ou 4261;14507593742;14507593742;Responsable/Joane Désilets;DSP et d'évaluation de Lanaudière;MSSS1;DSP 14;FAX;|
Dynacare Avenir;3885, boul. Industriel ;4509013071;Courrier postal;;Responsable;Dynacare Avenir;EPDA;EPDA1;MAIL;|
Eastern Health Care Corporation;306, Waterford Bridge Road;;Courrier postal;;Responsable;Eastern Health Care Corporation;EHCC;EHCC1;MAIL;|
Établissement Archambault - Sécurité moyenne;242, Montée Gagnon;450 478-5960;Courrier postal;450 478-7655;Responsable;Établissement Archambault - Sécurité moyenne;SCC;EARCHSM;MAIL;|
Établissement de Donnacona;1537, route 138;418 285-2455;Courrier postal;418 285-2027;Responsable;Établissement de Donnacona;SCC;EDONNA;MAIL;|
Fabrication Nuvo;3655, ch. de la Côte-Bissonette;1-450-929-0050;Courrier postal;;Responsable;Fabrication Nuvo;LPFNUVO;LPFNUVO1;MAIL;|
Faculté de médecine - Dép. Micro., Imm. Et inf.;2900, boul. Édouard-Montpetit, C.P. 6128;514 343-6275;Courrier postal;514 343-5701;Responsable;Faculté de médecine - Dép. Micro., Imm. Et inf.;UM;UMFMMII;MAIL;|
Faculté de médecine de l'Univ. Laval, départ. microb.;Pavillon Ferdinand-Vandry, bureau 2321-A;418 656-2131;Courrier postal;418 656-7666;Responsable;Faculté de médecine de l'Univ. Laval, départ. microb.;UL;ULFMM;MAIL;|
Fresenius Medical Care Canada;1660, 32e avenue  ;;Courrier postal;;Responsable;Fresenius Medical Care Canada;EPFMCC;EPFRES;MAIL;|
Fresenius Medical Care Canada - Ontario;45 Staples Avenue,  suite 110 ;;Courrier postal;;Responsable;Fresenius Medical Care Canada - Ontario;EPFMCC;EPFRESO;MAIL;|
Fresenius Medical Care Canada (rapport anglais);1660, 32e Avenue ;;Courrier postal;;Responsable;Fresenius Medical Care Canada (rapport anglais);EPFMCC;EPFRESA;MAIL;|
Galderma Production Canada inc;19400, aut. Transcanadienne;514-457-3187;5144574153;5144574153;Responsable/Mme Louise Pineault;Galderma Production Canada inc;LPGPCAN;LPGPCAN1;FAX;|
GC Biotherapeutics Inc;2911, avenue Marie-Curie;5143755800 # 431;a.sanchez@greencrossbt.com;5143755801;Responsable/Andrea Sanchez;GC Biotherapeutics Inc;LPGCBT;LPGCBT1;EMAIL;|
GDG Environnement Ltée;430, rue Saint-Laurent;1-819-373-3097;Courrier postal;;Responsable;GDG Environnement Ltée;LPGDGENV;LPGDGENV1;MAIL;|
GlaxoSmithKline Biologicals;245, boulevard Armand Frappier;;Courrier postal;;Responsable;GlaxoSmithKline Biologicals;LPGBIO;LPGBIO1;MAIL;|
GMF Centre de santé Drummondville;3745, rue Georges-Couture;1-819-477-4115;18194771122;18194771122;Responsable/Dr. Marc Vigneault;GMF Centre de santé Drummondville;GMFDRU;GMFDRU1;FAX;|
GMF du Reine Elizabeth (Clinique d'urgence);2111 Ave Northcliff;514-481-4343;5144819673;5144819673;Responsable;GMF du Reine Elizabeth (Clinique d'urgence);GMFRE;GMFRE1;FAX;|
GMF Lafontaine;242, rue Lafontaine;;Courrier postal;;Responsable;GMF Lafontaine;GMFLAF;GMFLAF1;MAIL;|
GMF-UMF Charles LeMoyne;299, boul. Sir Wilfrid-Laurier, bureau 2;;Courrier postal;;Responsable;GMF-UMF Charles LeMoyne;GMFCLEM;GMFCLEM1;MAIL;|
Groupe médical Stillview (GMF);175, av. Stillview, bureau 245;514-697-8471 (privé) Labo:514 6977354;5146974418;5146974418;Responsable/Dr. Ian Campbell;Groupe médical Stillview (GMF);GMFSTIL;GMFSTIL1;FAX;|
Groupe santé Medisys;500, rue Sherbrooke Ouest;5144992777;Courrier postal;;Responsable;Groupe santé Medisys;CMMEDI;CMMEDI1;MAIL;|
Groupe Stavibel inc.;762, avenue de l'Industrie;;Courrier postal;;Responsable;Groupe Stavibel inc.;LPGSTA;LPGSTA1;MAIL;|
Hamilton General Hospital - Microbiology Department;237 Barton Street East;1-905-527-4322 poste 46175;19055297142;19055297142;Responsable/Dr Cheryl Main;Hamilton General Hospital - Microbiology Department;HOGHM;HOGHM1;FAX;|
Health Sciences Centre (Manitoba) Mycobacteriology;"820 Sherbrook Street
 ";204 787-7652;Courrier postal;204 787-4699;Responsable;Health Sciences Centre (Manitoba) Mycobacteriology;PHM;HSCMAN;MAIL;|
Hôpital Barrie-Memorial;28, rue Gale;1-450-829-2321 poste 3276;14508292673;14508292673;Responsable/Danielle St-Yves;Hôpital Barrie-Memorial;C3HSL;HOBMEMOR;FAX;|
Hôpital Charles-LeMoyne;3120, boul. Taschereau;1-450-466-5000 poste 2172;14504665778;14504665778;Responsable/Dr Anton Mak;Hôpital Charles-LeMoyne;CIMC;HOCLEMOI;FAX;|
Hôpital Chauveau;11999, rue de l'Hôpital;1-418-842-3651 poste 7181;14188426466;14188426466;Responsable/Laboratoire Microbiologie;Hôpital Chauveau;CICN;HOCHAUV;FAX;|
Hôpital Cité de la Santé;1755, boul. René-Laënnec;1-450-975-5303;14509755095;14509755095;Responsable/Natalie Rivest;Hôpital Cité de la Santé;CILAV;HOCSANTÉ;FAX;|
Hôpital d'Alma;300, boul. Champlain Sud, C.P. 1300;1-418-669-2000 poste 2236;14186689694;14186689694;Responsable/Elise Desbiens;Hôpital d'Alma;CISLSJ;HOALMA;FAX;|
Hôpital d'Amos;622, 4e Rue Ouest;1-819-732-3341;18197326424;18197326424;Responsable/Dr Richard Lavallée;Hôpital d'Amos;CIAT;HOAMOS;FAX;|
Hôpital d'Amqui;135, av. Gaétan-Archambault;1-418-629-2211 poste 2019;14186298145;14186298145;Responsable/Laboratoire Microbiologie;Hôpital d'Amqui;CIBSL;HOAMQUI;FAX;|
Hôpital de Baie-Saint-Paul;74, rue Ambroise-Fafard;1-418-435-5150 poste 2182;14184356995;14184356995;Responsable/Debbie Provencher;Hôpital de Baie-Saint-Paul;CICN;HOBSPAUL;FAX;|
Hôpital de Chandler;451, rue Monseigneur Ross Est, C.P. 3300;1-418-689-2261 poste 2165;14186895925;14186895925;Responsable/Mme Marlène Parisé;Hôpital de Chandler;CIG;HOCHAN;FAX;|
Hôpital de Chicoutimi;305, rue Saint-Vallier;1-418-541-1046;14185411137;14185411137;Responsable/Sherley Rondeau;Hôpital de Chicoutimi;CISLSJ;HOCHIC;FAX;|
Hôpital de Dolbeau-Mistassini;2000, boul. Sacré-Coeur;(418) 276-1234  poste 4700 option 3 ou 4;14182766345;14182766345;Responsable/Vicky Potvin;Hôpital de Dolbeau-Mistassini;CISLSJ;HODMIST;FAX;|
Hôpital de Gatineau;909 boulevard La Vérendrye;;18199666379;18199666379;Responsable/Dominique Girard;Hôpital de Gatineau;CIO;HOPGAT;FAX;|
Hôpital de Hull;116, boul. Lionel-Émond;1-819-966-6000 poste 5446;18199666067;18199666067;Responsable/Anne-Marie Lalonde;Hôpital de Hull;CIO;HOHULL;FAX;|
Hôpital de La Baie;1000, rue du Docteur-Desgagné;1-418-544-3381 poste 279;14185444101;14185444101;Responsable/Anne Munger;Hôpital de La Baie;CISLSJ;HOLABAIE;FAX;|
Hôpital de La Malbaie;303, rue Saint-Étienne;1-418-665-1753 poste 1182;14186651736;14186651736;Responsable/Linda Lavoie;Hôpital de La Malbaie;CICN;HOLAMALB;FAX;|
Hôpital de Lachine;650, 16e Avenue;514-637-2351;5146379141;5146379141;Responsable/Benoit Charrette;Hôpital de Lachine;CUSM;HOLA;FAX;|
Hôpital de l'Archipel;430, chemin Principal;1-418-986-2121 poste 8138;14189867000;14189867000;Responsable/Mme Sonia Marin;Hôpital de l'Archipel;CII;HOLARCH;FAX;|
Hôpital de Lasalle;8585, Terrasse Champlain;;Courrier postal;;Responsable;Hôpital de Lasalle;CIOIM;HOLASALLE;MAIL;|
Hôpital de l'Enfant-Jésus;1401, 18e Rue;1-418-649-0252 poste 3726;14186495509;14186495509;Responsable/Dr. Alain Paradis;Hôpital de l'Enfant-Jésus;CUQUL;HOHEJ;FAX;|
Hôpital de Maniwaki;309, boul. Desjardins;1-819-449-4690;18194499984;18194499984;Responsable/Helene Lanigan;Hôpital de Maniwaki;CIO;HOMANIW;FAX;|
Hôpital de Maria;419, boul. Perron;1-418-759-3443 poste 2115;14187595335;14187595335;Responsable/M. Michel Goulet;Hôpital de Maria;CIG;HOMARIA;FAX;|
Hôpital de Matane;333, rue Thibault;1-418-562-3135 poste 2103;14185627430;14185627430;Responsable;Hôpital de Matane;CIBSL;HOMATAN;FAX;|
Hôpital de Mont-Laurier;2561, chemin de la Lièvre Sud;1-819-623-1234 poste 4222;18194404216;18194404216;Responsable/Francine Lachaine;Hôpital de Mont-Laurier;CILAU;HOMLAUR;FAX;|
